tag_id,name,category,count
1242758,blue_flower,0,15784
442474,competition_swimsuit,0,15702
1388800,black_sailor_collar,0,15696
451370,upside-down,0,15687
3059,street_fighter,3,15671
1310829,princess_connect!,3,15669
384842,moriya_suwako,4,15648
477354,sheathed,0,15615
497607,blue_nails,0,15584
166757,green_dress,0,15578
1811,twins,0,15575
602257,konpaku_youmu_(ghost),4,15556
401582,kazami_yuuka,4,15533
11797,strike_witches,3,15484
534968,mini_hat,0,15480
2336,cigarette,0,15461
2056,toenails,0,15455
1459169,idolmaster_shiny_colors,3,15440
8565,sarashi,0,15434
13282,pose,0,15402
417866,serious,0,15350
2082,rumia,4,15327
405124,smirk,0,15313
462546,hand_between_legs,0,15282
658682,knees_together_feet_apart,0,15251
15916,hair_down,0,15242
452112,tabard,0,15217
374533,creature,0,15211
392585,contemporary,0,15201
1670660,animal_hands,0,15188
394759,hand_in_pocket,0,15161
1275729,shimakaze_(kancolle),4,15155
1293269,blue_footwear,0,15147
447403,jumping,0,15145
464562,injury,0,15100
712723,striped_bow,0,15076
3603,lollipop,0,15075
427398,butt_crack,0,15058
